logid,eventtime,eventtype,success,username,hostname,sourceip,message,rawline,created_at
2218,2026-03-30 19:50:02.543902-04:00,SYS,1,,scan-server,,"type=PATH msg=audit(1774900201.403:1106): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=2099481 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1774900201.403:1106): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=2099481 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",2026-03-30 15:50:02.582135-04:00
2217,2026-03-30 19:50:02.442094-04:00,SYS,1,,scan-server,,"type=PATH msg=audit(1774900201.403:1106): item=1 name=""/bin/sh"" inode=2097746 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1774900201.403:1106): item=1 name=""/bin/sh"" inode=2097746 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",2026-03-30 15:50:02.516508-04:00
2216,2026-03-30 19:50:02.355454-04:00,SYS,1,,scan-server,,"type=PATH msg=audit(1774900201.403:1106): item=0 name=""/usr/libexec/sysstat/sa1"" inode=2250118 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1774900201.403:1106): item=0 name=""/usr/libexec/sysstat/sa1"" inode=2250118 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",2026-03-30 15:50:02.414046-04:00
2215,2026-03-30 19:50:02.279435-04:00,SYS,1,,scan-server,,"type=CWD msg=audit(1774900201.403:1106): cwd=""/""","type=CWD msg=audit(1774900201.403:1106): cwd=""/""",2026-03-30 15:50:02.340018-04:00
2214,2026-03-30 19:50:02.209898-04:00,SYS,1,,scan-server,,"type=EXECVE msg=audit(1774900201.403:1106): argc=4 a0=""/bin/sh"" a1=""/usr/libexec/sysstat/sa1"" a2=""1"" a3=""1""","type=EXECVE msg=audit(1774900201.403:1106): argc=4 a0=""/bin/sh"" a1=""/usr/libexec/sysstat/sa1"" a2=""1"" a3=""1""",2026-03-30 15:50:02.257969-04:00
2213,2026-03-30 19:50:02.152019-04:00,SYS,1,,scan-server,,"type=SYSCALL msg=audit(1774900201.403:1106): arch=c000003e syscall=59 success=yes exit=0 a0=5632e6afd630 a1=5632e6afd660 a2=5632e6afd0c0 a3=0 items=3 ppid=1 pid=5240 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""sa1"" exe=""/usr/bin/dash"" subj=unconfined key=""exec_log""ARCH=x86_64 SYSCALL=execve AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""","type=SYSCALL msg=audit(1774900201.403:1106): arch=c000003e syscall=59 success=yes exit=0 a0=5632e6afd630 a1=5632e6afd660 a2=5632e6afd0c0 a3=0 items=3 ppid=1 pid=5240 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""sa1"" exe=""/usr/bin/dash"" subj=unconfined key=""exec_log""ARCH=x86_64 SYSCALL=execve AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",2026-03-30 15:50:02.196544-04:00
2212,2026-03-30 19:50:02.107635-04:00,SYS,1,,scan-server,,type=PROCTITLE msg=audit(1774900201.373:1105): proctitle=7368002D6300454E41424C45443D66616C73653B205B202D72202F6574632F64656661756C742F73797373746174205D202626202E202F6574632F64656661756C742F737973737461743B20746573742022247B454E41424C45447D22203D20227472756522,type=PROCTITLE msg=audit(1774900201.373:1105): proctitle=7368002D6300454E41424C45443D66616C73653B205B202D72202F6574632F64656661756C742F73797373746174205D202626202E202F6574632F64656661756C742F737973737461743B20746573742022247B454E41424C45447D22203D20227472756522,2026-03-30 15:50:02.140465-04:00
2211,2026-03-30 19:50:02.063762-04:00,SYS,1,,scan-server,,"type=PATH msg=audit(1774900201.373:1105): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=2099481 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1774900201.373:1105): item=1 name=""/lib64/ld-linux-x86-64.so.2"" inode=2099481 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",2026-03-30 15:50:02.091469-04:00
2210,2026-03-30 15:50:02.012949-04:00,BASH_HISTORY,1,,scan-server,,2026-03-30T15:50:01.421994-04:00 scan-server systemd[1]: Finished sysstat-collect.service - system activity accounting tool.,2026-03-30T15:50:01.421994-04:00 scan-server systemd[1]: Finished sysstat-collect.service - system activity accounting tool.,2026-03-30 15:50:02.052523-04:00
2209,2026-03-30 19:50:01.998673-04:00,SYS,1,,scan-server,,"type=PATH msg=audit(1774900201.373:1105): item=0 name=""/usr/bin/sh"" inode=2097746 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""","type=PATH msg=audit(1774900201.373:1105): item=0 name=""/usr/bin/sh"" inode=2097746 dev=08:02 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",2026-03-30 15:50:02.035513-04:00
